"sample_id","subject_id","survey_timestamp","check_point","class"
"593_1","593",2022-11-25 17:00:19,"1","Subject"
"595_1","595",2022-11-26 21:13:30,"1","Subject"
"596_1","596",2022-11-26 12:25:47,"1","Subject"
"597_1","597",2022-11-25 18:01:15,"1","Subject"
"603_1","603",2022-11-26 00:28:36.5,"1","Subject"
"619_1","619",2022-11-29 22:20:53.5,"1","Subject"
"630_1","630",2022-11-29 13:28:00,"1","Subject"
"641_1","641",2022-11-25 21:03:52.5,"1","Subject"
"647_1","647",2022-11-26 09:46:52.5,"1","Subject"
"648_1","648",2022-11-26 09:46:49,"1","Subject"
"658_1","658",2022-11-29 09:46:41,"1","Subject"
"660_1","660",2022-11-26 09:50:14,"1","Subject"
"663_1","663",2022-11-27 18:22:21,"1","Subject"
"670_1","670",2022-11-28 16:03:01,"1","Subject"
"674_1","674",2022-11-27 17:01:14.5,"1","Subject"
"676_1","676",2022-11-27 14:31:22.5,"1","Subject"
"678_1","678",2022-11-28 10:25:17.5,"1","Subject"
"679_1","679",2022-11-28 13:00:21,"1","Subject"
"681_1","681",2022-11-26 14:18:27.5,"1","Subject"
"688_1","688",2022-11-29 07:53:17.5,"1","Subject"
"692_1","692",2022-11-28 04:01:22,"1","Subject"
"693_1","693",2022-11-26 13:34:45,"1","Subject"
"707_1","707",2022-11-27 00:14:16,"1","Subject"
"711_1","711",2022-12-02 02:18:51.5,"1","Subject"
"713_1","713",2022-11-27 02:42:19,"1","Subject"
"738_1","738",2022-11-27 07:35:53,"1","Subject"
"749_1","749",2022-11-27 09:08:28,"1","Subject"
"753_1","753",2022-11-27 12:28:03.5,"1","Subject"
"760_1","760",2022-11-27 11:04:32,"1","Subject"
"789_1","789",2022-11-28 09:37:26.5,"1","Subject"
"791_1","791",2022-11-28 19:23:33.5,"1","Subject"
"799_1","799",2022-11-28 16:32:41,"1","Subject"
"806_1","806",2022-11-28 16:27:48,"1","Subject"
"807_1","807",2022-11-28 18:57:16.5,"1","Subject"
"812_1","812",2022-12-01 12:15:23,"1","Subject"
"813_1","813",2022-11-28 19:10:21.5,"1","Subject"
"815_1","815",2022-11-28 20:00:18.5,"1","Subject"
"816_1","816",2022-12-01 12:08:12.5,"1","Subject"
"824_1","824",2022-12-01 07:10:28,"1","Subject"
"828_1","828",2022-11-29 15:32:30.5,"1","Subject"
"834_1","834",2022-11-30 19:25:10,"1","Subject"
"838_1","838",2022-11-29 17:30:44,"1","Subject"
"839_1","839",2022-11-29 20:33:10.5,"1","Subject"
"840_1","840",2022-11-29 15:29:35.5,"1","Subject"
"851_1","851",2022-12-04 15:39:27.5,"1","Subject"
"854_1","854",2022-11-30 09:05:11.5,"1","Subject"
"856_1","856",2022-11-30 08:38:09,"1","Subject"
"861_1","861",2022-11-30 10:37:25.5,"1","Subject"
"875_1","875",2022-11-30 17:51:45.5,"1","Subject"
"879_1","879",2022-11-30 13:48:09.5,"1","Subject"
"882_1","882",2022-12-02 00:30:36,"1","Subject"
"889_1","889",2022-11-30 18:35:01,"1","Subject"
"891_1","891",2022-11-30 11:09:12.5,"1","Subject"
"897_1","897",2022-11-30 17:35:46.5,"1","Subject"
"899_1","899",2022-12-05 18:05:08,"1","Subject"
"900_1","900",2022-11-30 13:44:52.5,"1","Subject"
"901_1","901",2022-12-01 12:56:37,"1","Subject"
"912_1","912",2022-11-30 12:00:18.5,"1","Subject"
"913_1","913",2022-11-30 23:46:46.5,"1","Subject"
"918_1","918",2022-11-30 14:29:32,"1","Subject"
"919_1","919",2022-11-30 16:06:31,"1","Subject"
"923_1","923",2022-11-30 13:09:14.5,"1","Subject"
"931_1","931",2022-12-01 02:04:01.5,"1","Subject"
"938_1","938",2022-11-30 11:22:49.5,"1","Subject"
"942_1","942",2022-12-01 12:06:31,"1","Subject"
"943_1","943",2022-12-01 21:46:01,"1","Subject"
"948_1","948",2022-12-01 06:17:35,"1","Subject"
"950_1","950",2022-12-01 00:43:07.5,"1","Subject"
"957_1","957",2022-11-30 11:51:19.5,"1","Subject"
"962_1","962",2022-12-01 00:04:30,"1","Subject"
"963_1","963",2022-12-01 02:10:08.5,"1","Subject"
"969_1","969",2022-11-30 13:12:48.5,"1","Subject"
"972_1","972",2022-11-30 17:51:00.5,"1","Subject"
"976_1","976",2022-12-04 09:07:23.5,"1","Subject"
"979_1","979",2022-11-30 19:32:39.5,"1","Subject"
"985_1","985",2022-11-30 18:01:27.5,"1","Subject"
"989_1","989",2022-12-01 10:39:09.5,"1","Subject"
"990_1","990",2022-11-30 20:40:48,"1","Subject"
"1002_1","1002",2022-11-30 12:28:35.5,"1","Subject"
