"sample_id","subject_id","survey_timestamp","check_point","class"
"513_1","513",2022-11-25 07:54:30,"1","Subject"
"514_1","514",2022-11-30 17:34:30,"1","Subject"
"515_1","515",2022-12-01 14:42:00,"1","Subject"
"516_1","516",2022-11-25 10:54:30,"1","Subject"
"518_1","518",2022-11-29 13:51:30,"1","Subject"
"520_1","520",2022-11-26 21:34:00,"1","Subject"
"521_1","521",2022-11-24 13:04:00,"1","Subject"
"523_1","523",2022-11-29 20:27:30,"1","Subject"
"524_1","524",2022-11-24 12:09:30,"1","Subject"
"527_1","527",2022-11-27 14:00:30,"1","Subject"
"529_1","529",2022-11-24 13:54:00,"1","Subject"
"532_1","532",2022-12-02 05:58:00,"1","Subject"
"533_1","533",2022-11-26 09:37:30,"1","Subject"
"534_1","534",2022-11-29 11:52:00,"1","Subject"
"535_1","535",2022-11-26 19:40:00,"1","Subject"
"536_1","536",2022-11-25 23:06:00,"1","Subject"
"537_1","537",2022-11-26 13:58:00,"1","Subject"
"538_1","538",2022-11-25 11:17:30,"1","Subject"
"540_1","540",2022-11-24 12:30:30,"1","Subject"
"543_1","543",2022-11-24 18:30:30,"1","Subject"
"545_1","545",2022-11-27 16:39:30,"1","Subject"
"547_1","547",2022-11-24 18:17:00,"1","Subject"
"549_1","549",2022-11-24 15:25:00,"1","Subject"
"550_1","550",2022-11-25 11:32:00,"1","Subject"
"551_1","551",2022-11-26 07:28:00,"1","Subject"
"554_1","554",2022-11-24 19:05:30,"1","Subject"
"555_1","555",2022-11-29 14:44:30,"1","Subject"
"558_1","558",2022-11-26 03:34:00,"1","Subject"
"559_1","559",2022-11-26 23:08:00,"1","Subject"
"566_1","566",2022-11-24 19:22:30,"1","Subject"
"567_1","567",2022-11-26 19:37:00,"1","Subject"
"568_1","568",2022-12-02 16:16:00,"1","Subject"
"569_1","569",2022-11-27 00:03:00,"1","Subject"
"570_1","570",2022-11-27 04:14:30,"1","Subject"
"572_1","572",2022-11-24 19:41:30,"1","Subject"
"574_1","574",2022-11-26 09:46:30,"1","Subject"
"576_1","576",2022-11-25 09:19:00,"1","Subject"
"579_1","579",2022-11-27 01:16:00,"1","Subject"
"580_1","580",2022-11-27 14:23:30,"1","Subject"
"581_1","581",2022-11-25 10:36:00,"1","Subject"
"582_1","582",2022-12-01 11:08:00,"1","Subject"
"583_1","583",2022-11-26 11:56:00,"1","Subject"
"585_1","585",2022-11-29 06:28:30,"1","Subject"
"586_1","586",2022-11-28 19:32:30,"1","Subject"
"587_1","587",2022-11-25 06:34:30,"1","Subject"
"588_1","588",2022-11-27 07:42:30,"1","Subject"
"589_1","589",2022-11-28 02:24:00,"1","Subject"
"590_1","590",2022-11-28 18:06:30,"1","Subject"
"591_1","591",2022-11-27 13:29:00,"1","Subject"
